Word(s),Spoken Form (If Different)
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
nmap,N map
under-documented,under documented
kubectl,koob control
kubectl,cube control
kubectl,keep control
pod,chang pod
pods,chang pods
node,chang node
nodes,chang nodes
kubernetes,chang kubernetes
git,chang git
pull,chang pull
com,chang com
delete,chang delete
delete,trying to lead
replicaset,replica set
delete,change delete
namespace,name space
edit,at it
sudo,chang sudo
diagnosticutil,diagnostic yew till
statefulset,stateful set
influx,in flux
kubectl,you control
checkout,check out
mkdir,make directory
daemonset,demon set
daemonsets,demon sets
log,chang log
logs,chang logs
kubectl create -f,koob control create from file
kubectl create -f,cube control create from file
kubectl create -f,keep control create from file
ceph,chang seff
RADOS,ray doss
RADOS,raydos
open-source,open sauce
--all-namespaces,all namespaces
-o wide,output wide
etcd,etsy dee
etcd,at city
etcd,at cd
kube-system,cube system
 - f ,from file
 - n ,with namespace
cd,change directory
storageclass,storage class
mysql,my sequel
dbench,dee bench
